mistake_id	text_id	type	text	attr_weight_language	cause	correction	tokens_id
1	1	Articles	the	Major	Absence_of_Category_in_L1	NA	44
2	1	Word_choice	practice in	Minor	Other	practise	60
2	1	Word_choice	practice in	Minor	Other	practise	61
2	2	Spelling	polisemy	Minor	L1_interference	polysemy	23
3	2	Punctuation	Homonymy and Polysemy; Lexical and Grammatical Ambiguity	Minor	Other	“Homonymy and Polysemy; Lexical and Grammatical Ambiguity”	63
3	2	Punctuation	Homonymy and Polysemy; Lexical and Grammatical Ambiguity	Minor	Other	“Homonymy and Polysemy; Lexical and Grammatical Ambiguity”	64
3	2	Punctuation	Homonymy and Polysemy; Lexical and Grammatical Ambiguity	Minor	Other	“Homonymy and Polysemy; Lexical and Grammatical Ambiguity”	65
3	2	Punctuation	Homonymy and Polysemy; Lexical and Grammatical Ambiguity	Minor	Other	“Homonymy and Polysemy; Lexical and Grammatical Ambiguity”	66
3	2	Punctuation	Homonymy and Polysemy; Lexical and Grammatical Ambiguity	Minor	Other	“Homonymy and Polysemy; Lexical and Grammatical Ambiguity”	67
3	2	Punctuation	Homonymy and Polysemy; Lexical and Grammatical Ambiguity	Minor	Other	“Homonymy and Polysemy; Lexical and Grammatical Ambiguity”	68
3	2	Punctuation	Homonymy and Polysemy; Lexical and Grammatical Ambiguity	Minor	Other	“Homonymy and Polysemy; Lexical and Grammatical Ambiguity”	69
4	2	Spelling	lexems	Minor	Other	lexemes	96
5	2	lex_item_choice	a few	Major	Other	multiple	108
5	2	lex_item_choice	a few	Major	Other	multiple	109
6	2	Absence_comp_sent	.	Critical	Other	, as their intuition cannot be regarded as a reliable criterion.	202
7	2	lex_item_choice	enough	Major	Other	sufficient	355
7	3	Formational_affixes	phonetical	Major	L1_interference	phonetic	23
8	3	Spelling	benn	Minor	Typo	been	149
9	3	Spelling	programm	Minor	L1_interference	program	194
10	3	Redundant	establishment	Major	L1_interference	NA	89
10	4	Articles	the	Major	Absence_of_Category_in_L1	a	92
11	4	Word_choice	introducing	Major	Other	representing	95
12	4	Pronouns	which	Major	Other	whose	108
13	4	Discourse	t	Minor	Other	kinship	NA
14	4	lex_part_choice	considered	Major	Other	suited	234
15	4	Discourse	f f	Major	Other	denoting	NA
16	4	Adverbs	a	Major	Other	such	NA
17	4	Discourse	the comparison of	Major	Other	comparing lexical	467
17	4	Discourse	the comparison of	Major	Other	comparing lexical	468
17	4	Discourse	the comparison of	Major	Other	comparing lexical	469
18	4	Abs_comp_clause	h	Major	Other	it	NA
19	4	Trans_prep	differentiate 'nostalgia' and 'melancholy'	Major	L1_interference	differentiate 'nostalgia' from 'melancholy'	284
19	4	Trans_prep	differentiate 'nostalgia' and 'melancholy'	Major	L1_interference	differentiate 'nostalgia' from 'melancholy'	285
19	4	Trans_prep	differentiate 'nostalgia' and 'melancholy'	Major	L1_interference	differentiate 'nostalgia' from 'melancholy'	286
19	4	Trans_prep	differentiate 'nostalgia' and 'melancholy'	Major	L1_interference	differentiate 'nostalgia' from 'melancholy'	287
19	4	Trans_prep	differentiate 'nostalgia' and 'melancholy'	Major	L1_interference	differentiate 'nostalgia' from 'melancholy'	288
19	4	Trans_prep	differentiate 'nostalgia' and 'melancholy'	Major	L1_interference	differentiate 'nostalgia' from 'melancholy'	289
19	4	Trans_prep	differentiate 'nostalgia' and 'melancholy'	Major	L1_interference	differentiate 'nostalgia' from 'melancholy'	290
19	4	Trans_prep	differentiate 'nostalgia' and 'melancholy'	Major	L1_interference	differentiate 'nostalgia' from 'melancholy'	291
19	5	lex_part_choice	proposes	Major	Other	proposes to consider	94
20	5	Tense_choice	illustrated	NA	NA	illustrates	206
21	5	note	Though	Minor	NA	However	238
21	6	Articles	the	Major	Absence_of_Category_in_L1	a	12
22	6	Adjectives	healthy	Major	Other	healthier	31
23	6	lex_item_choice	fatness	Major	Other	obesity	81
24	6	Articles	body	Critical	Absence_of_Category_in_L1	the body	187
25	6	Articles	body	Critical	Absence_of_Category_in_L1	the body	200
26	6	Articles	whole body	Critical	Absence_of_Category_in_L1	the whole body	216
26	6	Articles	whole body	Critical	Absence_of_Category_in_L1	the whole body	217
27	6	Prepositions	football	Major	Other	for football	236
28	6	Punctuation	etc	Minor	Other	, etc	240
29	6	lex_item_choice	aim to develop	Major	Other	point in developing	268
29	6	lex_item_choice	aim to develop	Major	Other	point in developing	269
29	6	lex_item_choice	aim to develop	Major	Other	point in developing	270
30	6	Spelling	enjoining	Minor	Typo	enjoying	257
31	6	Tense_choice	was	Major	Other	is	265
32	6	Articles	fitness center	Critical	Absence_of_Category_in_L1	a fitness center	308
32	6	Articles	fitness center	Critical	Absence_of_Category_in_L1	a fitness center	309
33	6	Articles	Bad side	Critical	Absence_of_Category_in_L1	A bad side	311
33	6	Articles	Bad side	Critical	Absence_of_Category_in_L1	A bad side	312
34	6	Articles	time	Critical	Absence_of_Category_in_L1	the time	322
35	6	Prepositions	on	Major	Other	in	329
36	6	lex_item_choice	fresh	Major	Other	open	330
37	6	Articles	fresh air	Critical	Absence_of_Category_in_L1	the open air	330
37	6	Articles	fresh air	Critical	Absence_of_Category_in_L1	the open air	331
38	6	suggestion	if you were	Major	Other	you would	342
