text_id	token_id	token	POS	lemma	mistake_id
1	1	Choosing	VBG	choose	NA
1	2	from	IN	from	NA
1	3	all	DT	all	NA
1	4	skills	NNS	skill	NA
1	5	in	IN	in	NA
1	6	the	DT	the	NA
1	7	leaflet	NN	leaflet	NA
1	8	,	Fc	,	NA
1	9	I'm	PRP	i	NA
1	10	I'm	VBP	be	NA
1	11	very	RB	very	NA
1	12	good	JJ	good	NA
1	13	at	IN	at	NA
1	14	using	VBG	use	NA
1	15	tone	NN	tone	NA
1	16	of	IN	of	NA
1	17	my	PRP2	my	NA
1	18	voice	NN	voice	NA
1	19	,	Fc	,	NA
1	20	dressing	VBG	dress	NA
1	21	smartly	RB	smartly	NA
1	22	and	CC	and	NA
1	23	staying	VBG	stay	NA
1	24	calm	NN	calm	NA
1	25	and	CC	and	NA
1	26	polite	JJ	polite	NA
1	27	at	IN	at	NA
1	28	all	DT	all	NA
1	29	times	NNS	time	NA
1	30	.	Fp	.	NA
1	31	But	CC	but	NA
1	32	I	PRP	i	NA
1	33	have	VBP	have	NA
1	34	some	DT	some	NA
1	35	"	Fe	"	NA
1	36	minuses	NNS	minus	NA
1	37	"	Fe	"	NA
1	38	.	Fp	.	NA
1	39	I	PRP	i	NA
1	40	sometimes	RB	sometimes	NA
1	41	can't	MD	can	NA
1	42	can't	RB	not	NA
1	43	hold	VB	hold	NA
1	44	the	DT	the	1
1	45	attention	NN	attention	NA
1	46	of	IN	of	NA
1	47	speaker	NN	speaker	NA
1	48	,	Fc	,	NA
1	49	can	MD	can	NA
1	50	interrupt	VB	interrupt	NA
1	51	(	Fpa	(	NA
1	52	very	RB	very	NA
1	53	rarely	RB	rarely	NA
1	54	)	Fpt	)	NA
1	55	.	Fp	.	NA
1	56	I	PRP	i	NA
1	57	also	RB	also	NA
1	58	need	VBP	need	NA
1	59	to	TO	to	NA
1	60	practice	VB	practice	2
1	61	in	IN	in	2
1	62	considering	VBG	consider	NA
1	63	my	PRP2	my	NA
1	64	potential	JJ	potential	NA
1	65	listeners	NNS	listener	NA
1	66	.	Fp	.	NA
2	1	John Lyons	NP	john_lyons	NA
2	2	.	Fp	.	NA
2	3	Homonymy	NP	homonymy	NA
